trade_date,MKT_r
2011-12-29,0.0002794956442956761
2011-12-30,0.01500156588077978
2012-01-04,-0.02176704183310262
2012-01-05,-0.006625557120144819
2012-01-06,0.003018681184296386
2012-01-09,0.03386445924244132
2012-01-10,0.03577442966892928
2012-01-11,-0.006775526058628355
2012-01-12,0.000132715190803474
2012-01-13,-0.01460533375365901
2012-01-16,-0.02405091993985493
2012-01-17,0.06081743261164688
2012-01-18,-0.02634757142087486
2012-01-19,0.01901766320740497
2012-01-20,0.01084213268841911
2012-01-30,-0.01827301565439428
2012-01-31,0.00259431507340303
2012-02-01,-0.01484564563365541
2012-02-02,0.01930709622933726
2012-02-03,0.008700248596598592
2012-02-06,-0.001709895200602692
2012-02-07,-0.01618218570684986
2012-02-08,0.02926034325191547
2012-02-09,-0.001531336751647025
2012-02-10,-3.812970871345106e-05
2012-02-13,-0.0002056356224885039
2012-02-14,-0.004784314104924704
2012-02-15,0.01114209142091403
2012-02-16,-0.005768894329800258
2012-02-17,0.0024100256739468
2012-02-20,0.001060583299815007
2012-02-21,0.00638198885351798
2012-02-22,0.0107694710995896
2012-02-23,0.00383134147621636
2012-02-24,0.02012518797209986
2012-02-27,0.004217204212665331
2012-02-28,-0.0004816268281555419
2012-02-29,-0.006552043450436195
2012-03-01,-0.00467398802021987
2012-03-02,0.01719830759689822
2012-03-05,-0.005775959591160191
2012-03-06,-0.01348572934428168
2012-03-07,-0.007628138448372263
2012-03-08,0.0095424623024571
2012-03-09,0.01028497934422278
2012-03-12,-0.006356583024095779
2012-03-13,0.01143064276608064
2012-03-14,-0.02420728332673711
2012-03-15,-0.008843215831327198
2012-03-16,0.009587602696169022
2012-03-19,0.0009840569469862382
2012-03-20,-0.01259130084978549
2012-03-21,0.002146745611704361
2012-03-22,-0.00205170156112465
2012-03-23,-0.009757857375148008
2012-03-26,-0.0008263271070712519
2012-03-27,-0.001615510870644693
2012-03-28,-0.02786561249288232
2012-03-29,-0.01170507563194336
2012-03-30,-0.004135546839689551
2012-04-05,0.02344863315096702
2012-04-06,0.00359013558330241
2012-04-09,-0.007745017053252793
2012-04-10,0.006524085217910644
2012-04-11,0.001700597582953018
2012-04-12,0.02002905783177429
2012-04-13,0.005551181966100973
2012-04-16,-0.004805167281517067
2012-04-17,-0.01010409339821468
2012-04-18,0.01878693798142307
2012-04-19,0.0009462117463831476
2012-04-20,0.009838657515481691
2012-04-23,-0.006336111989234713
2012-04-24,-0.00543886287701703
2012-04-25,0.008896347222802694
2012-04-26,0.003877316250232621
2012-04-27,-0.0002666947973926205
2012-05-02,0.01820121564492812
2012-05-03,0.002784910671872524
2012-05-04,0.008527199698821271
2012-05-07,-0.001129210460373075
2012-05-08,-0.004816259638909837
2012-05-09,-0.01420062173132409
2012-05-10,1.236392870136958e-05
2012-05-11,-0.01242650720115134
2012-05-14,-0.01054042965118492
2012-05-15,0.001019880433374568
2012-05-16,-0.01633820840168273
2012-05-17,0.01493145779560788
2012-05-18,-0.01454020884559321
2012-05-21,0.005355268396731323
2012-05-22,0.0095754512945672
2012-05-23,-0.007615562204203371
2012-05-24,-0.002307203942086223
2012-05-25,-0.006641861858904541
2012-05-28,0.01270366904647869
2012-05-29,0.01748263085820381
2012-05-30,-0.0047273948893146
2012-05-31,0.0008949060088036153
2012-06-01,-0.002259397712714631
2012-06-04,-0.03199896465150615
2012-06-05,0.002405990736274279
2012-06-06,-0.0009133265554153057
2012-06-07,-0.006010581854839057
2012-06-08,-0.008248928126844572
2012-06-11,0.01565578584702526
2012-06-12,-0.005409745961178732
2012-06-13,0.01159641468363293
2012-06-14,-0.004987794054176368
2012-06-15,0.00458997734327523
2012-06-18,0.00472892606636518
2012-06-19,-0.005495251135984488
2012-06-20,-0.00339959862813807
2012-06-21,-0.01506187241204467
2012-06-25,-0.01704499056936849
2012-06-26,-0.002725211358248112
2012-06-27,-0.002509266626917483
2012-06-28,-0.006120963924510104
2012-06-29,0.01215734200292451
2012-07-02,-0.001867480685395596
2012-07-03,0.002116062320367361
2012-07-04,0.0002504083319466479
2012-07-05,-0.01003278164736548
2012-07-06,0.01429363686162765
2012-07-09,-0.0198603818470315
2012-07-10,-0.003294255354293191
2012-07-11,0.002552383521647692
2012-07-12,0.00730150878670305
2012-07-13,0.00442598028378968
2012-07-16,-0.01632449071101595
2012-07-17,0.002428588527393923
2012-07-18,-0.001126117540581326
2012-07-19,0.002126719786846115
2012-07-20,-0.006169233204824054
2012-07-23,-0.01689215078248001
2012-07-24,0.001716074641676453
2012-07-25,-0.003419049897928617
2012-07-26,-0.003759970151805332
2012-07-27,0.003108998130050718
2012-07-30,-0.00341924525645738
2012-07-31,-0.000290312961064205
2012-08-01,0.002817633250296663
2012-08-02,-0.007813083182520735
2012-08-03,0.007053562147145589
2012-08-06,0.007035834847313197
2012-08-07,0.003179875045975989
2012-08-08,-0.00039549942277218
2012-08-09,0.01134014180936579
2012-08-10,-0.002835844961500259
2012-08-13,-0.01820299220134974
2012-08-14,-0.003913391058705353
2012-08-15,-0.007724893717159467
2012-08-16,-0.003231064610533526
2012-08-17,-0.005920115994285357
2012-08-20,-0.007533485590965114
2012-08-21,0.002973203373580936
2012-08-22,-0.005777183578207283
2012-08-23,0.006081051995460418
2012-08-24,-0.01231488832034689
2012-08-27,-0.01985870738736771
2012-08-28,-0.0005805111118663371
2012-08-29,-0.007065201291848876
2012-08-30,-0.004612994294250689
2012-08-31,-0.002548631326720495
2012-09-03,0.008190153822595119
2012-09-04,-0.01052794561017815
2012-09-05,-0.0003777381000854009
