trade_date,SMB_r
2015-04-17,-0.006013526324523141
2015-04-20,0.0009445152914817241
2015-04-21,0.04658128605769467
2015-04-22,-0.02520046845300741
2015-04-23,0.01898515502728729
2015-04-24,0.005116814974825771
2015-04-27,-0.01422317541756185
2015-04-28,-0.006438270824736386
2015-04-29,0.008009196672007812
2015-04-30,0.005178286998520991
2015-05-04,0.002633119128356272
2015-05-05,0.006226267512935597
2015-05-06,-0.004238189648843435
2015-05-07,0.0001511131165970233
2015-05-08,0.0235883677194539
2015-05-11,0.01350322905319989
2015-05-12,0.009053739920583852
2015-05-13,0.01313921721684139
2015-05-14,0.002249698076146268
2015-05-15,0.01930932068066982
2015-05-18,0.03095559177489779
2015-05-19,-0.01527133280296875
2015-05-20,0.01811300399108702
2015-05-21,0.02395371885245705
2015-05-22,-0.02620834104525726
2015-05-25,-0.004134214672506652
2015-05-26,0.03397367752792406
2015-05-27,0.0006950519630454454
2015-05-28,0.0118829342921447
2015-05-29,0.02384864829497147
2015-06-01,0.01618453208842224
2015-06-02,0.01983863660132159
2015-06-03,0.001354107065367724
2015-06-04,-0.03588299941543451
2015-06-05,0.009096092479325482
2015-06-08,-0.05321240772655397
2015-06-09,0.02301041284138331
2015-06-10,0.02631330435919266
2015-06-11,0.01652741938402222
2015-06-12,0.007433515825729398
2015-06-15,0.013285815857426
2015-06-16,-0.01508403079022054
2015-06-17,0.0117524045792912
2015-06-18,-0.0005078259317278858
2015-06-19,0.009977367949167204
2015-06-23,-0.04292228578629155
2015-06-24,-0.007714423219153155
2015-06-25,-0.0126194475029313
2015-06-26,0.001401763184253127
2015-06-29,-0.05141653891892523
2015-06-30,-0.0204455832387902
2015-07-01,-0.02620308255807266
2015-07-02,0.003870362178892559
2015-07-03,0.01485435813552505
2015-07-06,-0.02489623065428354
2015-07-07,-0.03339093444142668
2015-07-08,-0.02552427757388172
2015-07-09,-6.067776986844187e-05
2015-07-10,0.009496894304634337
2015-07-13,0.05901636051372162
2015-07-14,0.04111666728530232
2015-07-15,-0.03095689526519519
2015-07-16,0.012782963853834
2015-07-17,0.02697695401083974
2015-07-20,-0.0005731442579955046
2015-07-21,0.01284539279529778
2015-07-22,0.01355987108450334
2015-07-23,0.0201395891495126
2015-07-24,-0.008808682782078303
2015-07-27,0.01117300802912215
2015-07-28,-0.02156174983758241
2015-07-29,0.02210061931179012
2015-07-30,-0.01742530004693236
2015-07-31,0.0123887270253292
2015-08-03,-0.02695455133135453
2015-08-04,0.02459269302738135
2015-08-05,-0.001108657916703799
2015-08-06,0.007682463155767793
2015-08-07,0.01934022632563243
2015-08-10,0.01506315656248787
2015-08-11,-0.01011613374313753
2015-08-12,-0.006556604330682256
2015-08-13,0.02016233830956875
2015-08-14,0.009236975267992626
2015-08-17,0.03433710101561232
2015-08-18,-0.03419996343806936
2015-08-19,0.02169212643188591
2015-08-20,0.0003802839043071556
2015-08-21,-0.009348507659778023
2015-08-24,0.002205988462771674
2015-08-25,-0.0006280647765478375
2015-08-26,-0.05474700419567395
2015-08-27,-0.006648736420334034
2015-08-28,0.02687180032445553
2015-08-31,-0.03094541342486424
2015-09-01,-0.07068226845362961
2015-09-02,0.0077421679015825
2015-09-07,0.03033359888797154
2015-09-08,0.01845096695481123
2015-09-09,0.01589752290380589
2015-09-10,0.001641003668568949
2015-09-11,0.01147676365398852
2015-09-14,-0.04049350387820926
2015-09-15,-0.03008988218986158
2015-09-16,0.0181182633980103
2015-09-17,0.0008824377374369481
2015-09-18,0.01311561739016079
2015-09-21,0.02766660461736626
2015-09-22,-0.01317704855605495
2015-09-23,0.002991366148528025
2015-09-24,0.008748613281878736
2015-09-25,-0.02811286557970036
2015-09-28,0.02485318939640995
2015-09-29,0.007974106374780713
2015-09-30,-0.01120168514642521
2015-10-08,0.02029819825969642
2015-10-09,0.001118741836355117
2015-10-12,0.004063929378020359
2015-10-13,0.01021361073143609
2015-10-14,0.00204810038313856
2015-10-15,0.01999839970867203
2015-10-16,-0.005042086085441114
2015-10-19,0.0009569125240104677
2015-10-20,0.0005329799805190993
2015-10-21,-0.01716817237103124
2015-10-22,0.009437765208873194
2015-10-23,0.01585221350581108
2015-10-26,-0.006137696334937411
2015-10-27,0.003367763500357489
2015-10-28,-0.01383098138594312
2015-10-29,0.005002284225489302
2015-10-30,0.000476796024799084
2015-11-02,-0.005965475878980183
2015-11-03,0.003924897032457277
2015-11-04,0.003366612670754263
2015-11-05,-0.01787833299082286
2015-11-06,0.0008606705155514774
2015-11-09,0.005170047791983389
2015-11-10,0.003353622276114466
2015-11-11,0.01235253843668653
2015-11-12,0.008569301655497737
2015-11-13,0.0002206973155859573
2015-11-16,0.02072414579898017
2015-11-17,-0.003354421026694934
2015-11-18,-0.006565860203752542
2015-11-19,0.008378252817639396
2015-11-20,0.01387240157996604
2015-11-23,-0.004295478749163382
2015-11-24,0.005352342114099202
2015-11-25,0.01039778040998359
2015-11-26,-0.004063093171187854
2015-11-27,-0.01164621385600099
2015-11-30,0.004428974424396973
2015-12-01,-0.008257210937677662
2015-12-02,-0.02745114628726365
2015-12-03,0.01056525877930302
2015-12-04,0.007391632533874983
2015-12-07,0.00818785089010683
2015-12-08,-0.004014727668059768
2015-12-09,-0.005677325996554619
2015-12-10,0.00182787548414213
2015-12-11,0.0002527100718434675
2015-12-14,-0.00625451788336295
2015-12-15,0.01395756760704842
2015-12-16,0.006792737842185181
2015-12-17,0.005353620354002463
2015-12-18,-0.001174520737069551
2015-12-21,-0.01219242044629181
2015-12-22,0.005043197882570963
